City,Country,State,Region,Name
Hobart,Australia,TAS,Oceania,Hobart R Users Group (HRUG)
Melbourne,Australia,VIC,Oceania,Melbourne Users of R Network (MelbURN)
Sydney,Australia,NSW,Oceania,Sydney Users of R Forum (SURF)
Wellington,New Zealand,,Oceania,Wellington R Users Group (WRUG)
Buenos Ares,Argentia,,South / Central America,AR
Managua,Nicaragua,,South / Central America,Usuarios R Nicaragua
Santiago,Chile,,South / Central America,Grupo de Usuarios de R en Chile
Sao Paulo,Brazil,,South / Central America,R-br: the Brazilian R-community
Miami,United States,FL,North America,South Florida User Group
Hilo,United States,HI,North America,East Hawaii R Users Group
Durham,United States,NH,North America,Hew Hampshire R Users Group (NH UseRs)
Albany,United states,NY,North America,Albany R Users Group
"Charlotte, United States",,NC,North America,Charlotte R Users Group
Cincinnati,United States,OH,North America,CinDay RUG
